title,rec1,rec2,rec3,rec4,rec5,rec6,rec7,rec8,rec9,rec10
The Sopranos,Oz,Boardwalk Empire,The Wire,The Shield,Mad Men,Deadwood,Breaking Bad,Sons Of Anarchy,True Detective,Fargo
I Know This Much Is True,Empire Falls,John Adams,Angels In America,Elizabeth I,Mildred Pierce,Shackleton,Carlos,Hatfields & Mccoys,Lonesome Dove,Deadwood
Blood & Water,Keeping Faith,Hidden,The Split,The Victim,Unforgotten,Baptiste,The Loch,Come Home,Manhunt,Broken
Homecoming,Sharp Objects,Unbelievable,Killing Eve,Succession,Undone,Big Little Lies,The Sinner,Fleabag,The Romanoffs,Mindhunter
Black Mirror,Stranger Things,Mindhunter,Mr. Robot,Breaking Bad,Westworld,Dark,Fargo,The End Of The F***ing World,Better Call Saul,Game Of Thrones
How to Get Away with Murder,Orange Is The New Black,Orphan Black,Scandal,Sense8,Grey's Anatomy,Jane The Virgin,Revenge,13 Reasons Why,American Horror Story,This Is Us
Lucifer,Limitless,Blindspot,Izombie,The Magicians,Gotham,The Shannara Chronicles,The 100,Supergirl,Forever,The Flash
Lost,Dexter,Breaking Bad,Heroes,The Walking Dead,Game Of Thrones,Fringe,House,24,Homeland,The X Files
New Girl,Modern Family,2 Broke Girls,How I Met Your Mother,Suburgatory,Happy Endings,Don't Trust The B---- In Apartment 23,Awkward.,Brooklyn Nine-Nine,Cougar Town,The Big Bang Theory
After Life,Living With Yourself,Bodyguard,Ricky Gervais: Humanity,The Kominsky Method,Maniac,Russian Doll,Sex Education,The End Of The F***ing World,Mindhunter,Sunderland 'til I Die
Star Wars: The Clone Wars,Star Wars: Clone Wars,Star Wars Rebels,Halo 4: Forward Unto Dawn,Vader: A Star Wars Theory Fan Series,The Mandalorian,Tron: Uprising,The Avengers: Earth's Mightiest Heroes,Star Wars Resistance,Ultimate Spider-Man,Transformers Prime
Parks and Recreation,Arrested Development,Community,It's Always Sunny In Philadelphia,30 Rock,Freaks And Geeks,The Office,Archer,Unbreakable Kimmy Schmidt,Brooklyn Nine-Nine,Modern Family
Bosch,Goliath,Sneaky Pete,Ray Donovan,The Americans,Longmire,Bloodline,Justified,Hand Of God,Startup,Luther
The Wire,Boardwalk Empire,The Sopranos,The Shield,Deadwood,Oz,Mad Men,Fargo,House Of Cards,Breaking Bad,Dexter
NCIS,Ncis: Los Angeles,Criminal Minds,Bones,Csi: Crime Scene Investigation,Hawaii Five-0,Csi: Ny,Csi: Miami,Numb3rs,Castle,The Mentalist
Mad Men,Six Feet Under,Boardwalk Empire,The Newsroom,The Sopranos,The Wire,House Of Cards,Dexter,Homeland,Breaking Bad,The Americans
