title,rec1,rec2,rec3,rec4,rec5
13 Reasons Why,Black Mirror,Stranger Things
Space Force,Hollywood
Game of Thrones,Breaking Bad,True Detective
Community,Parks and Recreation
Dark,Black Mirror,Ozark,Stranger Things
Snowpiercer,Upload,Space Force
Vikings,Homeland,True Detective
The Office,Parks and Recreation,Community,The Office
Ozark,Fargo
Rick and Morty,Black Mirror
Money Heist,Stranger Things,Dark,Black Mirror,Chernobyl
Breaking Bad,Better Call Saul,True Detective
Grey's Anatomy,House
The Walking Dead,Lost,Breaking Bad
The Last Kingdom,Vikings
Peaky Blinders,Fargo,True Detective
Curon,Alex Rider
Friends,How I Met Your Mother
Criminal Minds,NCIS,Bones
The Flash,Arrow,DC's Legends of Tomorrow,Supergirl
Modern Family,Community,How I Met Your Mother,New Girl
Dead to Me,What We Do in the Shadows
Billions,Homeland
White Lines,Space Force,Money Heist
Little Fires Everywhere,I Know This Much Is True
Westworld,True Detective,Black Mirror,Fargo
Outlander,Downton Abbey
Stranger Things,Black Mirror,Westworld
Brooklyn Nine-Nine,Parks and Recreation,Community,Modern Family
Agents of S.H.I.E.L.D.,DC's Legends of Tomorrow
Black Mirror,True Detective,Fargo,Stranger Things
Hannibal,True Detective,Fargo
Stargirl,Curon
Alex Rider,Curon,Penny Dreadful: City of Angels
The Big Bang Theory,How I Met Your Mother,Friends
Lost,True Detective
Lucifer,DC's Legends of Tomorrow
Homeland,True Detective
Better Call Saul,Fargo,Breaking Bad,True Detective
The Sopranos,The Wire
Defending Jacob,Curon
The Blacklist,Homeland
The Mandalorian,The Witcher,The Boys
Sons of Anarchy,The Sopranos
New Girl,Modern Family,Community,How I Met Your Mother
The Wire,The Sopranos,True Detective
Riverdale,13 Reasons Why
Prison Break,Lost
Parks and Recreation,Community,The Office
The Handmaid's Tale,Black Mirror
Hollywood,Space Force
Upload,Love Life,Snowpiercer
American Horror Story,Hannibal
I Know This Much Is True,Little Fires Everywhere
Mad Men,The Sopranos
Fargo,True Detective,Better Call Saul
Outer Banks,Barkskins
The Boys,The Witcher
Doctor Who,Doctor Who,Star Trek: The Next Generation
DC's Legends of Tomorrow,Supergirl,Arrow
Downton Abbey,Mad Men
Dirty John,Homecoming
Penny Dreadful: City of Angels,Alex Rider,Curon
Doom Patrol,The Boys
Chernobyl,Black Mirror,True Detective,The Witcher,Breaking Bad
Supergirl,DC's Legends of Tomorrow,Arrow,The Flash
Arrow,DC's Legends of Tomorrow,The Flash,Supergirl
How I Met Your Mother,Friends,Community
The Witcher,The Mandalorian,The Boys
True Detective,Fargo,Hannibal
Barkskins,Outer Banks
Suits,Homeland
